4165 0 1.003 0.001 0.988 0.001 1.016 0.001
4539 1 1.003 0.001 0.988 0.001 1.016 0.001
4540 4 1.003 0.001 0.988 0.001 1.016 0.001
4671 21 1.003 0.001 0.988 0.001 1.016 0.001
4755 18 1.003 0.001 0.988 0.001 1.016 0.001
6550 4 1.014 0.001 1.01 0.001 1.024 0.001
6829 182 1.014 0.001 1.01 0.001 1.024 0.001
7409 3 1.014 0.001 1.01 0.001 1.024 0.001
7456 14 1.014 0.001 1.01 0.001 1.024 0.001
7610 5 1.014 0.001 1.01 0.001 1.024 0.001
7626 11 1.014 0.001 1.01 0.001 1.024 0.001
7635 173 1.014 0.001 1.01 0.001 1.024 0.001
7672 23 1.014 0.001 1.01 0.001 1.024 0.001
7700 32 1.014 0.001 1.01 0.001 1.024 0.001
7711 124 1.014 0.001 1.01 0.001 1.024 0.001
7744 55 1.014 0.001 1.01 0.001 1.024 0.001
7753 6 1.014 0.001 1.01 0.001 1.024 0.001
8402 47 1.015 0.001 1.015 0.001 1.022 0.001
8423 14 1.015 0.001 1.015 0.001 1.022 0.001
8995 13 1.027 0.001 1.015 0.001 1.03 0.001
8562 7 1.018 0.001 1.012 0.001 1.021 0.001
8569 11 1.018 0.001 1.012 0.001 1.021 0.001
8570 112 1.018 0.001 1.012 0.001 1.021 0.001
8585 78 1.018 0.001 1.012 0.001 1.021 0.001
8587 25 1.018 0.001 1.012 0.001 1.021 0.001
8610 38 1.018 0.001 1.012 0.001 1.021 0.001
8616 25 1.018 0.001 1.012 0.001 1.021 0.001
8630 82 1.018 0.001 1.012 0.001 1.021 0.001
8637 107 1.018 0.001 1.012 0.001 1.021 0.001
8643 27 1.018 0.001 1.012 0.001 1.021 0.001
8666 151 1.018 0.001 1.012 0.001 1.021 0.001
8670 39 1.018 0.001 1.012 0.001 1.021 0.001
8675 68 1.018 0.001 1.012 0.001 1.021 0.001
8682 62 1.018 0.001 1.012 0.001 1.021 0.001
8682 258 1.018 0.001 1.012 0.001 1.021 0.001
8713 20 1.018 0.001 1.012 0.001 1.021 0.001
