12730 -227.53 2.58
12731 -227.51 2.57
12732 -227.26 2.57
12735 -226.07 3.69
12736 -227.12 3.75
12783 -231.45 6.14
12784 -232.28 6.92
12785 -228.03 6.52
12787 -225.64 5.51
12788 -234.93 6.60
12789 -226.11 6.88
12790 -227.77 6.59
12791 -226.08 6.09
12792 -224.75 5.74
12793 -225.70 6.24
12794 -226.27 6.26
12877 -236.49 5.28
12878 -236.68 5.13
12879 -237.04 4.41
12880 -234.50 4.37
12882 -239.28 5.97
12883 -236.96 4.35
12884 -242.78 4.27
12885 -236.08 2.50
12886 -236.85 5.12
12894 -236.96 4.49
12895 -234.96 3.59
12896 -236.75 4.67
12897 -236.93 3.61
12898 -237.15 2.49
12899 -237.38 2.56
12917 -232.53 2.65
12928 -232.07 2.08
12930 -232.54 2.45
12931 -232.51 2.61
12932 -232.72 2.63
12933 -232.52 2.66
12934 -232.55 2.58
12936 -232.40 2.64
12937 -232.12 2.92
12938 -232.45 2.59
12940 -232.35 2.86
12941 -233.39 2.90
12942 -232.66 2.65
12943 -233.07 3.01
12944 -232.96 2.61
12945 -239.10 4.57
12946 -235.90 5.27
12947 -229.91 3.96
12948 -232.47 2.90
12949 -234.21 4.37
12950 -233.54 5.47
12959 -231.80 3.59
12960 -233.07 4.07
12962 -235.70 5.86
12963 -235.58 7.63
12964 -241.76 7.47
12970 -231.95 6.36
12971 -229.76 5.25
12972 -231.71 6.27
12973 -231.13 7.17
12974 -234.14 7.44
12975 -234.75 7.24
12990 -234.00 6.52
12991 -232.07 6.69
12993 -233.47 5.22
12995 -238.84 5.68
12997 -246.01 5.30
12998 -237.87 5.33
12999 -244.11 4.01
13000 -246.80 2.48
13001 -246.33 3.17
13002 -244.86 3.34
13003 -247.63 3.85
13004 -246.24 4.31
13005 -247.78 4.58
13006 -247.41 3.71
13008 -245.59 4.69
13009 -247.00 3.95
13010 -246.02 4.84
13012 -238.64 5.93
13013 -240.68 5.27
13014 -236.29 5.01
13015 -237.54 4.04
13016 -239.45 6.30
13017 -241.71 4.92
13018 -235.63 5.06
13051 -240.55 5.95
13052 -239.02 4.70
13053 -228.88 4.86
13054 -238.40 4.66
13055 -239.38 6.13
13056 -240.54 5.47
13057 -240.17 6.76
13058 -239.06 5.53
13059 -237.22 4.77
13060 -239.03 4.46
13061 -237.99 4.64
13062 -228.04 6.80
13064 -233.86 6.64
13065 -238.87 5.77
13066 -239.37 4.19
13067 -237.60 4.45
13068 -238.69 4.49
13069 -239.45 4.13
13070 -234.55 3.41
13077 -233.58 4.58
13078 -235.43 5.06
13079 -235.83 4.89
13082 -236.71 4.62
13085 -236.68 4.28
13091 -235.16 4.77
13093 -235.54 3.19
13095 -235.89 4.74
13130 -235.80 4.63
13131 -235.91 4.58
13132 -236.00 4.92
13133 -236.11 4.60
13134 -236.22 4.34
13135 -235.86 4.56
13136 -237.26 4.72
13137 -235.59 4.29
13138 -235.53 3.73
13139 -237.30 3.78
13140 -236.27 4.39
13141 -237.03 2.26
13142 -235.88 4.45
13143 -236.45 4.50
13144 -235.83 4.70
13145 -235.65 4.46
13146 -232.59 3.20
13147 -236.19 4.64
13148 -236.12 4.75
13149 -235.57 4.74
13150 -236.38 4.48
13151 -235.97 4.31
13152 -235.91 4.48
13153 -236.79 4.34
13155 -235.80 4.44
13156 -236.25 4.60
13157 -235.81 4.46
13227 -247.27 4.42
13228 -241.97 4.95
13229 -239.00 4.60
13230 -237.46 3.75
13231 -239.00 4.53
13232 -238.15 4.50
13233 -239.30 4.42
13234 -241.19 4.61
13235 -238.62 4.48
13236 -242.11 4.60
13237 -239.23 4.43
13238 -239.01 4.66
13250 -239.53 3.34
13312 -231.88 3.75
13313 -232.00 3.50
13314 -231.92 2.70
13315 -231.82 2.56
13316 -233.53 4.81
13317 -231.86 5.47
13318 -231.53 5.51
13319 -234.55 5.64
13320 -235.39 5.66
13321 -232.65 5.59
13346 -229.83 5.87
13350 -232.49 6.04
13351 -226.19 5.85
13352 -225.64 6.01
13353 -232.20 6.07
13354 -230.04 6.31
13355 -229.08 5.64
13357 -231.76 4.95
13361 -239.42 5.73
13365 -232.38 4.22
13367 -227.39 5.51
13372 -228.98 6.04
13374 -233.33 6.28
13375 -226.06 6.13
13379 -229.87 6.06
13380 -229.36 6.07
13381 -230.27 6.05
13382 -229.53 6.01
13383 -228.70 6.46
13384 -229.20 5.59
13407 -236.96 3.59
13408 -236.90 2.59
13409 -237.26 2.57
13410 -236.86 2.61
13411 -236.78 2.70
13412 -236.70 2.60
13414 -236.69 2.70
13415 -236.83 2.67
13416 -236.90 2.70
13417 -236.72 2.62
13418 -236.88 2.55
13419 -236.43 2.76
13421 -236.93 2.62
13422 -236.75 2.75
13423 -236.48 2.78
13424 -236.58 2.71
13425 -236.71 2.69
13426 -236.59 2.64
13428 -228.20 4.60
13429 -226.76 4.55
13430 -227.48 4.54
13431 -227.53 4.54
13432 -226.97 4.78
13433 -228.12 4.59
13434 -227.50 4.56
13435 -228.88 4.20
13436 -225.17 3.52
13437 -226.75 4.87
13474 -215.52 4.11
13475 -220.29 4.95
13476 -225.49 4.88
13477 -226.22 4.82
13479 -226.66 4.82
13480 -225.28 4.45
13481 -226.12 5.01
13482 -223.98 4.52
13483 -222.98 4.64
13484 -225.26 4.84
13485 -221.09 5.01
13486 -224.14 4.98
13487 -223.97 5.07
13488 -223.55 4.82
13489 -226.36 3.28
13490 -223.43 4.93
13491 -223.13 5.19
13492 -223.29 4.46
13502 -223.41 3.47
13503 -223.06 2.70
13504 -223.67 4.14
13505 -223.93 3.30
13506 -222.06 4.10
13507 -224.30 4.47
13510 -223.57 3.51
13511 -222.85 3.39
13512 -223.38 4.25
13513 -223.87 4.04
13514 -225.09 4.45
13515 -224.02 3.88
13516 -226.33 3.95
13518 -223.36 3.89
13521 -222.69 2.96
13522 -221.09 2.62
13523 -221.64 2.73
13524 -222.44 4.07
13525 -224.97 2.23
13526 -221.06 3.59
13529 -219.73 2.77
13534 -222.50 4.18
13535 -222.71 3.94
13536 -223.04 3.39
13549 -226.33 4.03
13550 -227.87 4.19
13552 -231.64 4.28
13553 -229.67 4.37
13554 -228.06 4.88
13556 -227.12 4.26
13557 -229.28 4.21
13558 -228.57 4.51
13559 -228.73 4.28
13560 -230.21 4.29
13561 -230.27 4.32
13563 -227.16 4.39
13564 -228.56 4.53
13566 -231.35 4.05
13567 -228.47 4.45
13569 -231.50 4.14
13570 -221.25 4.35
13571 -231.73 3.70
13572 -229.27 4.21
13573 -232.31 4.54
13574 -230.46 3.09
13575 -229.37 2.72
13576 -229.27 2.69
13577 -229.44 2.70
13578 -230.00 2.81
13583 -229.18 2.70
13584 -229.43 2.79
13585 -229.38 2.75
13586 -229.49 2.71
13587 -229.35 2.59
13588 -229.27 2.75
13589 -229.51 2.77
13590 -229.28 2.68
13591 -229.56 2.68
13592 -229.36 2.74
13593 -229.45 2.67
13594 -229.21 2.77
13595 -229.49 2.74
13598 -229.27 2.71
13599 -229.16 2.72
13600 -229.23 2.73
13603 -229.15 2.80
13604 -229.45 2.54
13605 -229.35 2.77
13606 -229.22 2.80
13607 -229.24 2.70
13608 -229.22 2.70
13609 -229.34 2.70
13626 -229.01 2.71
13627 -229.21 2.67
13628 -228.99 2.82
13629 -229.29 2.81
13630 -228.99 2.76
13631 -228.92 2.88
13632 -229.29 2.78
13633 -229.38 2.63
13635 -229.30 2.82
13636 -229.20 2.76
13637 -229.30 2.67
13639 -229.24 2.68
13640 -229.12 2.75
13641 -229.30 2.67
13642 -229.49 2.79
13643 -229.44 2.87
13644 -229.22 2.72
13645 -229.10 2.70
13646 -229.15 2.84
13647 -228.27 3.18
13648 -229.59 2.59
13649 -229.00 2.75
13650 -229.26 2.82
13651 -229.51 2.56
13653 -229.28 2.65
13654 -229.26 2.75
13655 -229.15 2.75
13667 -231.15 2.76
13668 -230.93 2.74
13669 -231.04 2.73
13670 -230.82 2.75
13671 -230.95 2.76
13672 -230.42 3.03
13673 -230.84 2.73
13674 -230.84 2.79
13675 -230.98 2.85
13676 -231.21 2.76
13677 -230.81 2.73
13678 -231.10 2.75
13679 -230.90 2.80
13680 -230.81 2.67
13683 -230.87 2.77
13684 -230.97 2.86
13685 -231.16 2.76
13686 -231.05 2.55
13700 -232.06 2.63
13701 -231.59 2.50
13702 -232.01 2.65
13703 -231.54 2.59
13704 -231.56 2.73
13705 -231.76 2.70
13706 -232.22 2.61
13707 -231.92 2.62
13708 -232.04 2.66
13709 -232.03 2.61
13710 -232.31 2.52
13711 -232.10 2.42
13712 -232.06 2.60
13713 -232.01 2.61
13727 -231.99 2.55
13728 -232.25 2.60
13729 -232.10 2.60
13734 -231.95 2.66
13735 -231.78 2.60
13736 -232.32 2.61
13737 -232.31 2.46
