-1000	    -700	    0.26	0.1
-700 	    -600	    0.06	0.1
-600	    -500	    0.25	0.1
-500	    -300	    0.13	0.1
-300	    -150	    0.00	0.1
-150	       0	    0.02	0.1
0	         300	    0.00	0.1
300	       400	    0.11	0.1
400	       500	    0.04	0.1
500	       600	    0.02	0.1
600	       700	    0.40	0.1
700	       800	    0.06	0.1
800	      1000	    0.20	0.1
