12.5      13.5   12.5	  13.5	    0	  0.08		0.05	 -0.08		0.08
12.5      13.5  210.5  211.5      0  -0.19    0.04   -0.31    0.07
12.5      13.5 2211.5 2212.5      0  -2.44    0.02   -2.52    0.05
12.5      13.5   10.5   11.5      0   3.36    0.08    3.10    0.12
210.5    211.5   12.5	  13.5	    0	  0.08		0.05	 -0.08		0.08
210.5    211.5  210.5  211.5      0  -0.19    0.04   -0.31    0.07
210.5    211.5 2211.5 2212.5      0  -2.44    0.02   -2.52    0.05
210.5    211.5   10.5   11.5      0   3.36    0.08    3.10    0.12
2211.5  2212.5   12.5   13.5      0   5.77    0.07    5.87    0.19
2211.5  2212.5  210.5  211.5      0   4.28    0.08    4.34    0.22
2211.5	2212.5 2211.5	2212.5      0	 -0.18		0.03	 -0.26		0.06
2211.5	2212.5   10.5	  11.5      0	 13.32		0.1		 13.10		0.30
