0	    400	  1.5	 2.5	  -0.6	 0.6
400	  500	  1.5	 2.5	  -0.99	 0.99
500	  600	  1.5	 2.5	  -0.64	 0.64
600	  700	  1.5	 2.5	  -0.55	 0.55
700	  800	  1.5	 2.5	  -0.45	 0.45
800	  900	  1.5	 2.5	  -0.2	 0.2
900	  1000  1.5	 2.5	  -0.39	 0.39
1000  1e+06	1.5	 2.5	  -0.16	 0.16
0     400	  2.5  3.5    -0.91  0.91
400   500	  2.5  3.5    -0.9   0.9
500   600	  2.5  3.5    -0.58  0.58
600   700	  2.5  3.5    -0.47  0.47
700   800	  2.5  3.5    -0.32  0.32
800   900	  2.5  3.5    -0.035 0.035
900   1000	2.5  3.5    -0.41  0.41
1000  1e+06 2.5  3.5	  -0.17  0.17
