-0.5  0.5   0.0         0.0
 0.5  1.5   0.00544884  0.000636455
 1.5  2.5   0.00637874  0.00110523
 2.5  3.5   0.00758793  0.00216441
 3.5  4.5   0.00837582  0.000960723
 4.5  5.5   0.00932195  0.0014996
 5.5  6.5   0.010596    0.00235661
 6.5  7.5   0.00783112  0.00120151
 16.5 17.5  0.0184563   0.00929497
 17.5 18.5  0.0211218   0.0116727 
 7.5  8.5   0.00389829  0.00116949
 8.5  9.5   0.00448873  0.00134662
 9.5  10.5  0.00584136  0.00175241
 10.5 11.5  0.0057458   0.00172374
 11.5 12.5  0.00612251  0.00183675
 12.5 13.5  0.0114867   0.00335282
 13.5 14.5  0.0156627   0.00648732
 14.5 15.5  0.006972    0.0020916
 15.5 16.5  0.0185447   0.00273713
 19.5 20.5  0.006972    0.0020916
 20.5 21.5  0.006972    0.0020916
