12.5      13.5   12.5	  13.5	 0.983 0.072
12.5      13.5  210.5  211.5   1.020 0.075
12.5      13.5 2211.5 2212.5   0.944 0.094
12.5      13.5   10.5   11.5   0.985 0.067
210.5    211.5   12.5	  13.5	 0.983 0.072
210.5    211.5  210.5  211.5   1.020 0.075
210.5    211.5 2211.5 2212.5   0.944 0.094
210.5    211.5   10.5   11.5   0.985 0.067
2211.5  2212.5   12.5   13.5   0.975 0.032
2211.5  2212.5  210.5  211.5   1.015 0.036
2211.5	2212.5 2211.5	2212.5   0.964 0.037
2211.5	2212.5   10.5	  11.5   1.026 0.039
