735.717	90.7013	22.5851
2325.03	67.6156	14.5957
2643.98	58.321	12.6027
2704.55	53.8676	12.0404
2725.11	51.2672	11.8137
2755.77	49.6358	11.5394
605.858	91.5134	22.446
1888.24	68.122	14.6567
2163.24	58.4111	12.635
2228.72	53.8502	12.0385
2244.39	51.1397	11.7838
2259.2	49.5517	11.5782
130.754	87.2117	22.0966
440.046	65.4169	14.0363
476.374	57.9328	12.3441
471.125	53.9431	11.9206
476.919	51.8099	11.7635
491.611	49.9964	11.2729
1.92915	-330.432	511.5
1.66803	57.0631	82.2427
5.84592	57.1897	15.1507
4.79774	57.5086	16.2563
5.00958	54.8043	15.0501
4.6973	51.0265	15.925
