660.035	106.164	27.8209
2017.55	78.8692	17.4822
2527.12	65.7072	13.8677
2659.97	59.5938	12.931
2743.36	56.2547	12.5071
2800.75	53.9698	12.1395
531.998	107.441	28.0458
1588.11	79.3856	17.5971
1993.85	65.6269	13.9043
2113.63	59.3143	12.8863
2173.51	55.9964	12.4771
2214.49	53.8032	12.1711
129.696	100.69	25.8671
431.122	76.9273	16.7124
524.268	66.0237	13.6338
542.245	60.5787	12.928
563.421	57.1885	12.4344
584.922	54.5844	11.6959
2.53439	65.3686	58.577
2.95093	73.8782	28.5615
8.74796	66.6453	13.6669
6.42709	60.2298	14.9174
9.87153	55.6213	11.3219
9.01507	56.5227	13.1897
