210.5	211.5	-1	-0.9	0.0022	0.202628	0.0051209	0.00502757	0.227569	0.00540647	0.00531865
210.5	211.5	-0.9	-0.8	0.0022	0.275744	0.00557163	0.00550368	0.275729	0.0054464	0.00538143
210.5	211.5	-0.8	0	0.1399	0.25419		0.00169625	0.00168885	0.254351	0.00170184	0.00169441
210.5	211.5	0	0.8	0.3214	0.221256	0.00169058	0.00168143	0.222712	0.00171594	0.0017066
210.5	211.5	0.8	0.9	0.1888	0.189946	0.00559		0.00546846	0.19289		0.00557925	0.00546109
210.5	211.5	0.9	1	0.1074	0.139808	0.00525155	0.00509456	0.158755	0.00565811	0.00550218
2211.5	2212.5	-1	-0.9	0.0000	0.21302		0.00593435	0.00581813	0.227995	0.00599172	0.00588451
2211.5	2212.5	-0.9	-0.8	0.0052	0.295959	0.00623017	0.00615614	0.293727	0.0060673	0.00599597
2211.5	2212.5	-0.8	0	0.1186	0.283864	0.00179552	0.00178872	0.281586	0.00180262	0.00179566
2211.5	2212.5	0	0.8	0.1772	0.243191	0.00178577	0.00177696	0.251127	0.00183643	0.00182759
2211.5	2212.5	0.8	0.9	0.0645	0.196545	0.00625982	0.00611544	0.203992	0.00648173	0.00633485
2211.5	2212.5	0.9	1	0.0488	0.128182	0.00601242	0.00578665	0.127108	0.00604657	0.00581613
