-0.5	0.5	-0.5	0.5	 0.831		 0.831		0.0	 0.99852	0.00022
-0.5	0.5	 0.5	1.5	-0.154		-0.154		0.0	 0.99852	0.00022
-0.5	0.5	 1.5	2.5	-0.045		-0.045		0.0	 0.99852	0.00022
-0.5	0.5	 2.5	3.5	-0.004		-0.004		0.0	 0.99852	0.00022
-0.5	0.5	 3.5	4.5	-0.010		-0.010		0.0	 0.99852	0.00022
 0.5	1.5	-0.5	0.5	 0.9832		 0.9832		0.0	 1.00016	0.000076
 0.5	1.5	 0.5	1.5	-0.01655	-0.01655	0.0	 1.00016	0.000076
 0.5	1.5	 1.5	2.5	-0.00518	-0.00518	0.0	 1.00016	0.000076
 0.5	1.5	 2.5	3.5	-0.00050	-0.00050	0.0	 1.00016	0.000076
 0.5	1.5	 3.5	4.5	-0.01595	-0.01595	0.0	 1.00016	0.000076
 1.5	2.5	-0.5	0.5	 0.8135		 0.8135		0.0	 1.0201		0.0055
 1.5	2.5	 0.5	1.5	-0.0516		-0.0516		0.0	 1.0201		0.0055
 1.5	2.5	 1.5	2.5	 0.0085		 0.0085		0.0	 1.0201		0.0055
 1.5	2.5	 2.5	3.5	 0.0031		 0.0031		0.0	 1.0201		0.0055
 1.5	2.5	 3.5	4.5	-0.0571		-0.0571		0.0	 1.0201		0.0055
 2.5	3.5	-0.5	0.5	 0.9999		 0.9999		0.0	 1.00003	0.000036
 2.5	3.5	 0.5	1.5	-0.000067	-0.000067	0.0	 1.00003	0.000036
 2.5	3.5	 1.5	2.5	 0.000015	 0.000015	0.0	 1.00003	0.000036
 2.5	3.5	 2.5	3.5	 0.000007	 0.000007	0.0	 1.00003	0.000036
 2.5	3.5	 3.5	4.5	-0.007215	-0.007215	0.0	 1.00003	0.000036
 3.5	4.5	-0.5	0.5	 0.9646		 0.9646		0.0	 0.9984		0.0066
 3.5	4.5	 0.5	1.5	 0.04649	 0.04649	0.0	 0.9984		0.0066
 3.5	4.5	 1.5	2.5	-0.02501	-0.02501	0.0	 0.9984		0.0066
 3.5	4.5	 2.5	3.5	-0.00259	-0.00259	0.0	 0.9984		0.0066
 3.5	4.5	 3.5	4.5	 0.00118	 0.00118	0.0	 0.9984		0.0066
