-0.5 0.5 6.5 10.5  -1.0 -0.4   1. 0.866637  0.00127346  0.00126663  0.850990  0.00530578  0.00520386  
-0.5 0.5 6.5 10.5  -0.4  0.0   1. 0.895059  0.00141993  0.00140871  0.888573  0.00602263  0.00583859
-0.5 0.5 6.5 10.5   0.0  0.4   1. 0.845117  0.00257413  0.00255104  0.849072  0.01035970  0.00998393
-0.5 0.5 6.5 10.5   0.4  1.0   1. 0.661204  0.00352984  0.00351793  0.659455  0.01349800  0.01332770

0.5  1.5 6.5 10.5  -1.0  -0.4  1. 0.802246  0.00186726  0.00185845  0.792619  0.00767253  0.00753529
0.5  1.5 6.5 10.5  -0.4   0.0  1. 0.870730  0.00230950  0.00228631  0.873717  0.00953138  0.00913791
0.5  1.5 6.5 10.5   0.0   0.4  1. 0.818271  0.00430740  0.00425509  0.833671  0.01721050  0.01630930  
0.5  1.5 6.5 10.5   0.4   1.0  1. 0.717889  0.00545784  0.00541543  0.728929  0.02153330  0.02083970












 
