-0.5   0.5  0.0044   0.0017
 0.5   1.5  0.0072   0.0007
 1.5   2.5  0.0084   0.0008
 2.5   3.5  0.0083   0.0009
 3.5   4.5  0.0092   0.0026
 4.5   5.5  0.0102   0.0044
 5.5   6.5  0.0116   0.0033
 6.5   7.5  0.0086   0.0037
 16.5 17.5  0.0212   0.0064
 17.5 18.5  0.0245   0.0074
 7.5   8.5  0.0055   0.0017
 8.5   9.5  0.0055   0.0051
 9.5  10.5  0.0072   0.0054
10.5  11.5  0.0071   0.0042
11.5  12.5  0.0075   0.0041
12.5  13.5  0.0059   0.0014
14.5  15.5  0.0087   0.0026
19.5  20.5  0.0087   0.0026
20.5  21.5  0.0087   0.0026
