-0.5  0.5   0.00599954   0.000599954
 0.5  1.5   0.00986695   0.000986695
 1.5  2.5   0.0115508    0.00115508
 2.5  3.5   0.0113668    0.00153492
 3.5  4.5   0.012547     0.0012547
 4.5  5.5   0.0139643    0.00139643
 5.5  6.5   0.0158729    0.00158729
 6.5  7.5   0.0117311    0.00117311
 16.5 17.5  0.0276477    0.00620133
 17.5 18.5  0.0316406    0.00598855 
 7.5  8.5   0.00635394   0.00190618
 8.5  9.5   0.00731631   0.00219489
 9.5  10.5  0.009521     0.0028563
 10.5 11.5  0.00936524   0.00280957
 11.5 12.5  0.00997924   0.00299377
 12.5 13.5  0.0172072    0.00172072
 13.5 14.5  0.0234628    0.00234628
 14.5 15.5  0.0113639    0.00340916
 15.5 16.5  0.02778      0.002778
 19.5 20.5  0.0113639    0.00340916
 20.5 21.5  0.0113639    0.00340916
 
