0    300  1.5 2.5  1.025 0.025
300  400  1.5 2.5  0.998 0.002
400  500  1.5 2.5  1.023 0.023
500  600  1.5 2.5  0.981 0.019
600  700  1.5 2.5  1.024 0.024
700  800  1.5 2.5  0.984 0.016
800  900  1.5 2.5  1.008 0.008
900  1000 1.5 2.5  0.999 0.001
1000 1200 1.5 2.5  1.009 0.009
1200 1400 1.5 2.5  1.017 0.017
1400 1600 1.5 2.5  1.025 0.025
1600 1800 1.5 2.5  1.027 0.027
1800 2000 1.5 2.5  1.030 0.030
2000 2500 1.5 2.5  1.035 0.035
2500 3000 1.5 2.5  1.050 0.050
3000 4000 1.5 2.5  1.064 0.064
4000 1e+06 1.5 2.5 1.066 0.066
0    200  2.5 3.5  0.934 0.066
200  300  2.5 3.5  1.033 0.033
300  400  2.5 3.5  1.010 0.010
400  500  2.5 3.5  1.013 0.013
500  600  2.5 3.5  1.007 0.007
600  700  2.5 3.5  1.015 0.015
700  800  2.5 3.5  1.027 0.027
800  900  2.5 3.5  1.010 0.010
900  1000 2.5 3.5  1.029 0.029
1000 1200 2.5 3.5  1.026 0.026
1200 1400 2.5 3.5  1.034 0.034
1400 1600 2.5 3.5  1.013 0.013
1600 1800 2.5 3.5  1.041 0.041
1800 2000 2.5 3.5  1.039 0.039
2000 2500 2.5 3.5  1.063 0.063
2500 3000 2.5 3.5  1.050 0.050
3000 4000 2.5 3.5  1.037 0.037
4000 1e+06 2.5 3.5 1.073 0.073
