0    400   1.5 2.5 1.129	0.129
400  500   1.5 2.5 1.394	0.394
500  600   1.5 2.5 1.352	0.352
600  700   1.5 2.5 1.199	0.199
700  800   1.5 2.5 1.363	0.363
800  900   1.5 2.5 1.485	0.485
900  1000  1.5 2.5 1.280	0.280
1000 1e+06 1.5 2.5 1.589	0.589
0    400   2.5 3.5 1.191	0.191
400  500   2.5 3.5 1.296	0.296
500  600   2.5 3.5 1.331	0.331
600  700   2.5 3.5 1.193	0.193
700  800   2.5 3.5 1.320	0.320
800  900   2.5 3.5 1.392	0.392
900  1000  2.5 3.5 1.379	0.379
1000 1e+06 2.5 3.5 1.228	0.228
