-1e6	1e6	0	300	0.874779	0.882		0.0253		0.764		0.0253
-1e6	1e6	300	600	0.989641	0.99838		0.00129		0.99538		0.00129
-1e6	1e6	600	900	0.99199 	0.99649		0.000985	0.99341		0.000985
-1e6	1e6	900	1200	0.990056	0.99673		0.00106		0.99346		0.00106
-1e6	1e6	1200	1500	0.987662	0.99038		0.001665	0.98642		0.001665
-1e6	1e6	1500	1800	0.98308 	0.987		0.001675	0.97786		0.001675
-1e6	1e6	1800	2100	0.97819 	0.9851		0.00231		0.9697		0.00231
-1e6	1e6	2100	2400	0.982167	0.984		0.002275	0.9729		0.002275
-1e6	1e6	2400	2700	0.971186	0.9756		0.00281		0.96622		0.00281
-1e6	1e6	2700	3000	0.965392	0.9764		0.00257		0.97266		0.00257
-1e6	1e6	3000	4000	0.970439	0.9666		0.001935	0.95		0.001935
-1e6	1e6	4000	5000	0.970506	0.955		0.00294		0.9118		0.00294
-1e6	1e6	5000	10000	0.946524	0.9205		0.00323		0.8468		0.00323
-1e6	1e6	10000	15000	0.895706	0.858		0.01415		0.729		0.01415
-1e6	1e6	15000	20000	0.711538	1		0.0785		0.667		0.0785

