0    300    1.5 2.5 -0.13   0.13
300  400    1.5 2.5 -0.097  0.097
400  500    1.5 2.5 -0.087  0.087
500  600    1.5 2.5 -0.026  0.026
600  700    1.5 2.5 -0.058  0.058
700  800    1.5 2.5 -0.037  0.037
800  900    1.5 2.5 -0.047  0.047
900  1000   1.5 2.5 -0.017  0.017
1000 1200   1.5 2.5 -0.029  0.029
1200 1400   1.5 2.5 -0.0091 0.0091
1400 1600   1.5 2.5  0.016  0.016
1600 1800   1.5 2.5  0.015  0.015
1800 2000   1.5 2.5  0.018  0.018
2000 2500   1.5 2.5 -0.028  0.028
2500 3000   1.5 2.5 -0.037  0.037
3000 4000   1.5 2.5 -0.084  0.084
4000 1e+06  1.5 2.5 -0.11   0.11
0    200    2.5 3.5 -0.15   0.15
200  300    2.5 3.5 -0.11   0.11
300  400    2.5 3.5 -0.066  0.066
400  500    2.5 3.5 -0.05   0.05
500  600    2.5 3.5 -0.026  0.026
600  700    2.5 3.5 -0.02   0.02
700  800    2.5 3.5 -0.017  0.017
800  900    2.5 3.5 -0.018  0.018
900  1000   2.5 3.5 -0.029  0.029
1000 1200   2.5 3.5  0.011  0.011
1200 1400   2.5 3.5  0.0059 0.0059
1400 1600   2.5 3.5  0.037  0.037
1600 1800   2.5 3.5  0.015  0.015
1800 2000   2.5 3.5  0.041  0.041
2000 2500   2.5 3.5  0.057  0.057
2500 3000   2.5 3.5  0.011  0.011
3000 4000   2.5 3.5 -0.027  0.027
4000 1e+06  2.5 3.5 -0.053  0.053
