11.5  12.5 0.078 0.3   
12.5  13.5 0.111 0.3
13.5  14.5 0.050 0.3
14.5  15.5 0.126 0.3
15.5  16.5 0.141 0.3 
16.5  17.5 0.070 1.0
17.5  18.5 0.111 1.0
18.5  19.5 0.111 1.0
19.5  20.5 0.078 0.3
20.5  21.5 0.126 0.3
21.5  22.5 0.141 0.3

