8
-1      -1   2750.2  3332.0  3914.7  4497.0  5078.4  5659.7  6243.4  6824.2 
0     6000   2839.7  3423.5  4005.4  4588.6  5172.2  5754.6 -1000.0 -1000.0
6000  7000   2853.95 3444.15 4030.41 4620.34 5180.28 5770.12 6343.77 6924.67
7000  8000   3019.11 3597.74 4180.73 4763.93 5346.49 5927.83 6508.5  7093.56
8000  8550   3024.22 3606.11 4188.01 4769.9  5351.79 5933.68 6515.58 7097.47
8550  8800   3013.55 3597.55 4178.24 4758.78 5338.21 5927.31 6505.71 7086.80
8895  9300   3014.69 3600.57 4178.89 4764.24 5342.35 5931.73 6506.37 7090.15
9301  9999   3014.69 3600.57 4178.89 4764.24 5342.35 5931.73 6506.37 7090.15
10251 10522  3028.23 3609.63 4192.66 4782.46 5359.02 5939.97 6523.92 7102.44
10826 12063  3018.20 3599.10 4184.62 4769.22 5345.73 5932.20 6511.85 7096.31
12064 12590  2994.20 3581.27 4165.74 4752.16 5335.15 5917.88 6502.08 7085.51
12680 13740  2988.09 3579.54 4163.87 4746.27 5328.18 5912.98 6496.96 7083.50
13887 99999  2992.82 3586.82 4173.41 4754.60 5333.04 5917.68 6501.34 7087.92

