0       0       67.2471 61.1422 55.0373 48.9324 42.8275 43.6982 44.569 45.4398 46.3106 51.7819 57.2532 62.7246 69.0471 77.6469 90.7116 103.716 115.401 127.105 139.087 150.977 163.918 174.77 184.377 190.64 194.024 196.782 199.54 199.8 192.196 184.062 173.467 160.311 146.78 132.871 122.864 113.48 105.342 102.497 99.0549 95.6127 92.1705 88.7282 85.468 82.5986 79.1593 75.5184 71.8776 68.2367 64.5958 60.9549 57.314 53.6732 50.0323 48.1038 46.4101 44.7164 43.0227 41.329 39.6353 37.9416 36.2479 34.5542 32.8605 31.6871 30.8835 30.08 29.2764 28.4728 27.6692 26.8657 26.0621 25.2585 24.7428 24.2272 23.7115 23.1959 22.6802 22.1646 21.6489 21.1332 20.6176 20.1019 19.5863 19.0706 18.5549 18.4018 18.2487 18.0956 17.9425 17.7893 17.6362 17.4831 17.33 17.1768 17.0237 16.8706 16.7175 16.5644 16.4112 16.2581 16.105 15.8432 15.5814 15.3196 15.0578 14.796 14.5342 14.2724 14.0106 13.7488 13.487 13.2252 12.9634 12.7016 12.4398 12.178 11.9162 11.6544 11.3926 11.1308 10.869 10.6072 10.3454 10.0836 9.82184 9.56004 9.29824 9.03645 8.77465 8.51285 8.25105 7.98925 7.72746 7.46566 7.20386 6.94206 6.68027 6.53308 6.38588 6.23869 6.0915 5.94431 5.79712 5.64993 5.50274 5.35555 5.20836 5.06116 4.91397 4.76678 4.61959 4.4724 4.32521 4.17802 4.03083 3.88364 3.73645 3.58925 3.44206 3.38179 3.32152 3.26125 3.20097 3.1407 3.08043 3.02016 2.95989 2.89961 2.83934 2.77907 2.7188 2.65852 2.59825 2.53798 2.47771 2.41744 2.35716 2.29689 2.23662 2.17635 2.11608 2.0558 1.99553 1.93526 1.87499 1.81471 1.75444 1.69417 1.6339 1.57363 1.51335 1.45308 1.39281 1.33254 1.27226 1.21199 1.15172 1.09145 1.03118 0.970904 0.910632 0.850359 0.790087 0.729815 0.669543 0.609271 0.548998 0.488726 0.428454 0.368182 0.30791 0.247637 0.187365 0.127093 0.0668209 0.00654873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

1       0       0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

0       1       0 1.16444 2.46041 3.75639 5.05236 6.06718 7.082 8.09681 9.11163 10.6023 12.093 13.5837 16.5583 21.4836 24.4473 27.3624 29.2169 30.9666 32.06 35.1191 37.6601 40.5362 42.7828 43.4353 43.0994 42.7473 42.3951 42.7857 43.093 43.4401 43.6818 43.8139 44.1578 44.7167 44.8756 44.9706 45.1405 45.54 45.8513 46.1626 46.474 46.7853 47.0897 47.3791 48.2485 49.3231 50.3978 51.4724 52.547 53.6217 54.6963 55.7709 56.8456 57.5657 58.2372 58.9087 59.5802 60.2517 60.9232 61.5947 62.2662 62.9376 63.6091 63.8625 63.8187 63.7748 63.731 63.6871 63.6432 63.5994 63.5555 63.5117 63.3676 63.2235 63.0794 62.9353 62.7913 62.6472 62.5031 62.359 62.2149 62.0708 61.9267 61.7826 61.6386 61.6717 61.7048 61.7379 61.771 61.804 61.8371 61.8702 61.9033 61.9364 61.9695 62.0026 62.0357 62.0688 62.1019 62.135 62.1681 61.7643 61.3605 60.9567 60.5529 60.1491 59.7453 59.3415 58.9377 58.5339 58.1301 57.7263 57.3225 56.9187 56.5149 56.1111 55.7073 55.3035 54.8997 54.4959 54.0921 53.6883 53.2845 52.8807 52.4769 52.0731 51.6693 51.2655 50.8617 50.4579 50.0541 49.6503 49.2465 48.8427 48.4389 48.0351 47.6313 47.4317 47.2321 47.0325 46.8329 46.6333 46.4337 46.2341 46.0345 45.8349 45.6353 45.4357 45.2361 45.0365 44.8369 44.6373 44.4377 44.2381 44.0385 43.8389 43.6393 43.4397 43.2401 43.0333 42.8266 42.6199 42.4131 42.2064 41.9997 41.7929 41.5862 41.3795 41.1727 40.966 40.7593 40.5525 40.3458 40.1391 39.9323 39.7256 39.5189 39.3121 39.1054 38.8987 38.6919 38.4852 38.2785 38.0717 37.865 37.6583 37.4515 37.2448 37.0381 36.8313 36.6246 36.4179 36.2111 36.0044 35.7977 35.5909 35.3842 35.1775 34.9707 34.764 34.5573 34.3505 34.1438 33.9371 33.7303 33.5236 33.3169 33.1101 32.9034 32.6967 32.4899 32.2832 32.0765 31.8697 31.663 31.4563 31.2495 31.0428 30.8361 30.6293 30.4226 30.2159 30.0091 29.8024 29.5957 29.3889 29.1822 28.9755 28.7687 28.562 28.3553 28.1485 27.9418 27.7351 27.5283 27.3216 27.1149 26.9081 26.7014 26.4947 26.2879 26.0812 25.8745 25.6677 25.461 25.2543 25.0475 24.8408 24.6341 24.4273 24.2206 24.0139 23.8071 23.6004 23.3937 23.1869 22.9802 22.7735 22.5667 22.36 22.1533 21.9465 21.7398 21.5331 21.3263 21.1196 20.9129 20.7061 20.4994 20.2927 20.0859 19.8792 19.6725 19.4657 19.259 19.0523 18.8455 18.6388 18.4321 18.2253 18.0186 17.8119 17.6051 17.3984 17.1917 16.9849 16.7782 16.5715 16.3647 16.158 15.9513 15.7445 15.5378 15.3311 15.1243 14.9176 14.7109 14.5041 14.2974 14.0907 13.884 13.6772 13.4705 13.2638 13.057 12.8503 12.6435 12.4368 12.2301 12.0233 11.8166 11.6099 11.4032 11.1964 10.9897 10.783 10.5762 10.3695 10.1628 9.95602 9.74928 9.54255 9.33582 9.12908 8.92235 8.71562 8.50888 8.30215 8.09542 7.88868 7.68195 7.47522 7.26848 7.06175 6.85502 6.64828 6.44155 6.23482 6.02808 5.82135 5.61462 5.40788 5.20115 4.99442 4.78768 4.58095 4.37422 4.16748 3.96075 3.75402 3.54728 3.34055 3.13382 2.92708 2.72035 2.51362 2.30689 2.10015 1.89342 1.68669 1.47995 1.27322 1.06649 0.859752 0.653019 0.446285 0.239552 0.0328189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

1       1       0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

0       4       0 1.52435 3.67165 5.81895 7.96625 10.2526 12.5389 14.8252 17.1116 22.8765 28.6414 34.4063 45.553 64.7138 81.288 97.6876 110.265 122.863 138.025 156.368 173.43 188.464 203.183 209.813 210.834 211.612 212.389 213.096 214.659 216.386 217.561 218.162 219.006 220.096 219.681 219.026 218.189 215.652 212.655 209.658 206.661 203.665 199.523 192.923 186.735 180.693 174.651 168.609 162.567 156.525 150.483 144.441 138.399 136.194 134.515 132.836 131.157 129.478 127.799 126.12 124.442 122.763 121.084 119.796 118.785 117.774 116.764 115.753 114.743 113.732 112.722 111.711 111.132 110.552 109.972 109.393 108.813 108.234 107.654 107.074 106.495 105.915 105.336 104.756 104.176 104.646 105.117 105.587 106.057 106.527 106.997 107.467 107.937 108.407 108.877 109.347 109.817 110.288 110.758 111.228 111.698 111.397 111.097 110.796 110.496 110.195 109.895 109.594 109.293 108.993 108.692 108.392 108.091 107.791 107.49 107.19 106.889 106.589 106.288 105.987 105.687 105.386 105.086 104.785 104.485 104.184 103.884 103.583 103.283 102.982 102.681 102.381 102.08 101.78 101.479 101.179 100.878 100.477 100.076 99.6747 99.2735 98.8723 98.4711 98.07 97.6688 97.2676 96.8664 96.4652 96.064 95.6629 95.2617 94.8605 94.4593 94.0582 93.657 93.2558 92.8546 92.4534 92.0522 91.5995 91.1468 90.6941 90.2414 89.7887 89.3359 88.8832 88.4305 87.9778 87.5251 87.0723 86.6196 86.1669 85.7142 85.2615 84.8088 84.356 83.9033 83.4506 82.9979 82.5452 82.0924 81.6397 81.187 80.7343 80.2816 79.8289 79.3761 78.9234 78.4707 78.018 77.5653 77.1125 76.6598 76.2071 75.7544 75.3017 74.849 74.3962 73.9435 73.4908 73.0381 72.5854 72.1326 71.6799 71.2272 70.7745 70.3218 69.8691 69.4163 68.9636 68.5109 68.0582 67.6055 67.1527 66.7 66.2473 65.7946 65.3419 64.8892 64.4364 63.9837 63.531 63.0783 62.6256 62.1729 61.7201 61.2674 60.8147 60.362 59.9093 59.4565 59.0038 58.5511 58.0984 57.6457 57.193 56.7402 56.2875 55.8348 55.3821 54.9294 54.4766 54.0239 53.5712 53.1185 52.6658 52.2131 51.7603 51.3076 50.8549 50.4022 49.9495 49.4967 49.044 48.5913 48.1386 47.6859 47.2332 46.7804 46.3277 45.875 45.4223 44.9696 44.5168 44.0641 43.6114 43.1587 42.706 42.2533 41.8005 41.3478 40.8951 40.4424 39.9897 39.5369 39.0842 38.6315 38.1788 37.7261 37.2734 36.8206 36.3679 35.9152 35.4625 35.0098 34.557 34.1043 33.6516 33.1989 32.7462 32.2935 31.8407 31.388 30.9353 30.4826 30.0299 29.5771 29.1244 28.6717 28.219 27.7663 27.3136 26.8608 26.4081 25.9554 25.5027 25.05 24.5972 24.1445 23.6918 23.2391 22.7864 22.3337 21.8809 21.4282 20.9755 20.5228 20.0701 19.6173 19.1646 18.7119 18.2592 17.8065 17.3538 16.901 16.4483 15.9956 15.5429 15.0902 14.6374 14.1847 13.732 13.2793 12.8266 12.3739 11.9211 11.4684 11.0157 10.563 10.1103 9.65755 9.20483 8.75211 8.2994 7.84668 7.39396 6.94124 6.48852 6.0358 5.58309 5.13037 4.67765 4.22493 3.77221 3.3195 2.86678 2.41406 1.96134 1.50862 1.05591 0.603188 0.150469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

