0       0       67.2471 61.1422 55.0373 48.9324 42.8275 43.6982 44.569 45.4398 46.3106 51.7819 57.2532 62.7246 69.0471 77.6469 90.7116 103.716 115.401 127.105 139.087 150.977 163.918 174.77 184.377 190.64 194.024 196.782 199.54 199.8 192.196 184.062 173.467 160.311 146.78 132.871 122.864 113.48 105.342 102.497 99.0549 95.6127 92.1705 88.7282 85.468 82.5986 79.1593 75.5184 71.8776 68.2367 64.5958 60.9549 57.314 53.6732 50.0323 48.1038 46.4101 44.7164 43.0227 41.329 39.6353 37.9416 36.2479 34.5542 32.8605 31.6871 30.8835 30.08 29.2764 28.4728 27.6692 26.8657 26.0621 25.2585 24.7428 24.2272 23.7115 23.1959 22.6802 22.1646 21.6489 21.1332 20.6176 20.1019 19.5863 19.0706 18.5549 18.4018 18.2487 18.0956 17.9425 17.7893 17.6362 17.4831 17.33 17.1768 17.0237 16.8706 16.7175 16.5644 16.4112 16.2581 16.105 15.8432 15.5814 15.3196 15.0578 14.796 14.5342 14.2724 14.0106 13.7488 13.487 13.2252 12.9634 12.7016 12.4398 12.178 11.9162 11.6544 11.3926 11.1308 10.869 10.6072 10.3454 10.0836 9.82184 9.56004 9.29824 9.03645 8.77465 8.51285 8.25105 7.98925 7.72746 7.46566 7.20386 6.94206 6.68027 6.53308 6.38588 6.23869 6.0915 5.94431 5.79712 5.64993 5.50274 5.35555 5.20836 5.06116 4.91397 4.76678 4.61959 4.4724 4.32521 4.17802 4.03083 3.88364 3.73645 3.58925 3.44206 3.38179 3.32152 3.26125 3.20097 3.1407 3.08043 3.02016 2.95989 2.89961 2.83934 2.77907 2.7188 2.65852 2.59825 2.53798 2.47771 2.41744 2.35716 2.29689 2.23662 2.17635 2.11608 2.0558 1.99553 1.93526 1.87499 1.81471 1.75444 1.69417 1.6339 1.57363 1.51335 1.45308 1.39281 1.33254 1.27226 1.21199 1.15172 1.09145 1.03118 0.970904 0.910632 

1       0       19.5039 17.3925 15.2811 13.1697 11.4892 11.6448 11.8005 11.9561 12.1118 13.2887 14.4657 15.6427 17.1145 19.1583 21.7014 24.2369 26.6044 28.9821 31.2044 32.9176 36.1578 38.7555 40.855 41.3875 41.0596 41.6531 42.2466 41.199 40.01 38.8554 36.4716 32.8086 30.0824 28.3071 26.1021 23.8285 22.4624 23.1869 22.4379 21.6888 20.9398 20.1907 19.6261 19.4575 18.376 16.9715 15.567 14.1625 12.7579 11.3534 9.94892 8.54441 7.1399 6.79504 6.5955 6.39596 6.19642 5.99687 5.79733 5.59779 5.39825 5.19871 4.99917 4.85834 4.75925 4.66016 4.56107 4.46198 4.36288 4.34391 4.41929 4.49466 4.66031 4.82596 4.99161 5.15726 5.32291 5.48855 5.6542 5.81985 5.9855 6.15115 6.3168 6.48245 6.6481 6.64495 6.64181 6.63866 6.63551 6.63237 6.62922 6.62607 6.62293 6.61978 6.61663 6.61349 6.61034 6.60719 6.60405 6.6009 6.59775 6.52327 6.44878 6.37429 6.2998 6.22531 6.15082 6.07634 6.00185 5.92736 5.85287 5.77838 5.70389 5.6294 5.55492 5.48043 5.40594 5.33145 5.25696 5.18247 5.10799 5.0335 4.95901 4.88452 4.81003 4.73554 4.66105 4.58657 4.51208 4.43759 4.3631 4.28861 4.21412 4.13963 4.06515 3.99066 3.91617 3.83598 3.75579 3.6756 3.59541 3.51522 3.43503 3.35484 3.27464 3.19445 3.11426 3.03407 2.95388 2.87369 2.7935 2.71331 2.63312 2.55293 2.47274 2.39255 2.31236 2.26734 2.24988 2.28247 2.31506 2.34766 2.38025 2.41285 2.44544 2.47804 2.51063 2.54323 2.57582 2.60842 2.64101 2.67361 2.7062 2.73879 2.77139 2.80398 2.83658 2.86917 2.90177 2.93436 2.96696 2.99955 3.03215 3.06474 3.09734 3.12993 3.16252 3.19512 3.22771 3.26031 3.2929 3.3255 3.35809 3.39069 3.42328 3.45588 3.48847 3.52107 3.55366 3.58626 3.61885 

0       1       0 1.16444 2.46041 3.75639 5.05236 6.06718 7.082 8.09681 9.11163 10.6023 12.093 13.5837 16.5583 21.4836 24.4473 27.3624 29.2169 30.9666 32.06 35.1191 37.6601 40.5362 42.7828 43.4353 43.0994 42.7473 42.3951 42.7857 43.093 43.4401 43.6818 43.8139 44.1578 44.7167 44.8756 44.9706 45.1405 45.54 45.8513 46.1626 46.474 46.7853 47.0897 47.3791 48.2485 49.3231 50.3978 51.4724 52.547 53.6217 54.6963 55.7709 56.8456 57.5657 58.2372 58.9087 59.5802 60.2517 60.9232 61.5947 62.2662 62.9376 63.6091 63.8625 63.8187 63.7748 63.731 63.6871 63.6432 63.5994 63.5555 63.5117 63.3676 63.2235 63.0794 62.9353 62.7913 62.6472 62.5031 62.359 62.2149 62.0708 61.9267 61.7826 61.6386 61.6717 61.7048 61.7379 61.771 61.804 61.8371 61.8702 61.9033 61.9364 61.9695 62.0026 62.0357 62.0688 62.1019 62.135 62.1681 61.7643 61.3605 60.9567 60.5529 60.1491 59.7453 59.3415 58.9377 58.5339 58.1301 57.7263 57.3225 56.9187 56.5149 56.1111 55.7073 55.3035 54.8997 54.4959 54.0921 53.6883 53.2845 52.8807 52.4769 52.0731 51.6693 51.2655 50.8617 50.4579 50.0541 49.6503 49.2465 48.8427 48.4389 48.0351 47.6313 47.4317 47.2321 47.0325 46.8329 46.6333 46.4337 46.2341 46.0345 45.8349 45.6353 45.4357 45.2361 45.0365 44.8369 44.6373 44.4377 44.2381 44.0385 43.8389 43.6393 43.4397 43.2401 43.0333 42.8266 42.6199 42.4131 42.2064 41.9997 41.7929 41.5862 41.3795 41.1727 40.966 40.7593 40.5525 40.3458 40.1391 39.9323 39.7256 39.5189 39.3121 39.1054 38.8987 38.6919 38.4852 38.2785 38.0717 37.865 37.6583 37.4515 37.2448 37.0381 36.8313 36.6246 36.4179 36.2111 36.0044 35.7977 35.5909 35.3842 35.1775 34.9707 34.764 34.5573 

1       1       0.00361978 0.504811 1.01324 1.52167 2.0301 2.49353 2.95696 3.42038 3.88381 4.58107 5.27834 5.97561 7.33475 9.52758 10.669 11.8086 12.9093 13.9426 14.3805 15.8293 17.1883 18.6525 19.7511 19.9965 18.9757 18.8076 18.6395 19.4377 19.2009 18.9107 18.7783 18.8102 18.7031 18.4548 18.1137 17.7577 17.5841 17.519 16.9742 16.4293 15.8844 15.3396 14.195 12.5846 11.8363 11.1026 10.3688 9.63509 8.90134 8.16759 7.43384 6.70009 5.96633 5.99483 6.12785 6.26088 6.3939 6.52692 6.65995 6.79297 6.926 47.059 47.192 47.374 47.5907 47.8074 48.0241 48.2409 48.4576 48.6743 48.891 49.1077 49.1364 49.1652 49.1939 49.2226 49.2513 49.28 49.3088 49.3375 49.3662 49.3949 49.4236 49.4524 49.4811 49.3798 49.2786 49.1773 49.076 48.9748 48.8735 48.7723 48.671 48.5697 48.4685 48.3672 48.266 48.1647 48.0634 47.9622 47.8609 47.9955 48.13 48.2645 48.3991 48.5336 48.6682 48.8027 48.9373 49.0718 49.2063 49.3409 49.4754 49.61 49.7445 49.8791 50.0136 50.1481 50.2827 50.4172 50.5518 50.6863 50.8209 50.9554 51.0899 51.2245 51.359 51.4936 51.6281 51.7627 51.8972 52.0317 52.1663 52.3008 52.4354 52.5699 52.7045 52.7493 52.7942 52.8391 52.884 52.9289 52.9738 53.0187 53.0635 53.1084 53.1533 53.1982 53.2431 53.288 53.3328 53.3777 53.4226 53.4675 53.5124 53.5573 53.6022 53.647 53.6919 53.9092 54.1265 54.3438 54.561 54.7783 54.9956 55.2129 55.4301 55.6474 55.8647 56.082 56.2992 56.5165 56.7338 56.9511 57.1683 57.3856 57.6029 57.8202 58.0374 58.2547 58.472 58.6893 58.9065 59.1238 59.3411 59.5584 59.7756 59.9929 60.2102 60.4275 60.6447 60.862 61.0793 61.2966 61.5138 61.7311 61.9484 62.1657 62.383 62.6002 62.8175 

0       4       0 1.52435 3.67165 5.81895 7.96625 10.2526 12.5389 14.8252 17.1116 22.8765 28.6414 34.4063 45.553 64.7138 81.288 97.6876 110.265 122.863 138.025 156.368 173.43 188.464 203.183 209.813 210.834 211.612 212.389 213.096 214.659 216.386 217.561 218.162 219.006 220.096 219.681 219.026 218.189 215.652 212.655 209.658 206.661 203.665 199.523 192.923 186.735 180.693 174.651 168.609 162.567 156.525 150.483 144.441 138.399 136.194 134.515 132.836 131.157 129.478 127.799 126.12 124.442 122.763 121.084 119.796 118.785 117.774 116.764 115.753 114.743 113.732 112.722 111.711 111.132 110.552 109.972 109.393 108.813 108.234 107.654 107.074 106.495 105.915 105.336 104.756 104.176 104.646 105.117 105.587 106.057 106.527 106.997 107.467 107.937 108.407 108.877 109.347 109.817 110.288 110.758 111.228 111.698 111.397 111.097 110.796 110.496 110.195 109.895 109.594 109.293 108.993 108.692 108.392 108.091 107.791 107.49 107.19 106.889 106.589 106.288 105.987 105.687 105.386 105.086 104.785 104.485 104.184 103.884 103.583 103.283 102.982 102.681 102.381 102.08 101.78 101.479 101.179 100.878 100.477 100.076 99.6747 99.2735 98.8723 98.4711 98.07 97.6688 97.2676 96.8664 96.4652 96.064 95.6629 95.2617 94.8605 94.4593 94.0582 93.657 93.2558 92.8546 92.4534 92.0522 91.5995 91.1468 90.6941 90.2414 89.7887 89.3359 88.8832 88.4305 87.9778 87.5251 87.0723 86.6196 86.1669 85.7142 85.2615 84.8088 84.356 83.9033 83.4506 82.9979 82.5452 82.0924 81.6397 81.187 80.7343 80.2816 79.8289 79.3761 78.9234 78.4707 78.018 77.5653 77.1125 76.6598 76.2071 75.7544 75.3017 74.849 74.3962 73.9435 73.4908 73.0381 

