0	0	16.9483 17.152 17.7654 18.7595 20.0631 21.5617 23.1968 25.1459 27.0949 29.0439 30.9929 32.9419 34.8909 50.5408 53.3282 60.3562 68.7305 84.6793 96.4656 111.97 130.659 149.349 141.249 154.876 160.926 165.891 170.856 175.821 167.063 157.791 148.52 139.91 132.91 120.753 108.595 96.4379 75.236 72.4967 71.7433 70.9898 70.2364 69.483 67.8632 64.6966 62.3267 60.1816 58.0364 55.8912 53.746 51.6008 49.4556 47.3104 45.1652 44.462 43.879 43.2961 42.7132 42.1303 41.5474 40.9644 40.3815 39.7986 39.2157 37.9668 36.3135 34.8437 33.2662 31.8249 30.6307 29.4491 28.2571 27.1332 26.0122 24.7611 23.873 22.8559 21.9025 21.1453 20.2589 19.3056 18.5637 17.7257 16.843 16.2518 15.4511 14.5682 14.0043 13.3709 12.7315 12.0841 11.6649 11.1076 10.5751 10.0092 9.70982 9.21646 8.85191 8.47749 8.0485 7.75122 7.46981 7.2516 7.03338 6.81517 6.59696 6.37874 6.16053 5.94232 5.7241 5.50589 5.28768 5.17086 5.05404 4.93723 4.82041 4.7036 4.58678 4.46997 4.35315 4.23633 4.11952 4.05396 3.98839 3.92283 3.85727 3.7917 3.72614 3.66058 3.59501 3.52945 3.46389 3.3678 3.27171 3.17562 3.07953 2.98344 2.88735 2.79126 2.69517 2.59909 2.503 2.46406 2.42513 2.3862 2.34726 2.30833 2.26939 2.23046 2.19153 2.15259 2.11366 2.06804 2.02242 1.9768 1.93118 1.88556 1.83994 1.79432 1.7487 1.70308 1.65746 1.60664 1.55582 1.50501 1.45419 1.40337 1.35256 1.30174 1.25092 1.20011 1.14929 1.13105 1.11281 1.09457 1.07633 1.05809 1.03985 1.02161 1.00337 0.985131 0.966891 0.941412 0.915933 0.890455 0.864976 0.839497 0.814019 0.78854 0.763061 0.737583 0.712104 0.694642 0.67718 0.659718 0.642257 0.624795 0.607333 0.589871 0.572409 0.554948 0.537486

1	0	105.657 90.6869 74.0535 57.4201 40.7868 24.1534 9.29665 12.1862 18.5863 28.0109 19.8172 15.1342 13.9618 11.6343 19.7538 25.1537 27.6211 24.2337 22.9834 21.7649 20.7199 12.29 32.434 33.088 39.5893 41.6116 39.0186 36.0417 35.6451 38.4178 31.3759 29.3418 33.4256 29.4103 19.9729 10.0421 25.4507 15.2826 19.2324 26.4412 18.7742 14.6178 17.0274 25.2458 26.4828 28.9441 34.9162 44.3989 46.4628 31.8728 20.7935 13.2249 9.1669 11.2621 17.0885 26.4255 39.2732 55.6315 47.4415 34.6859 25.4409 19.7066 17.483 27.5029 43.3013 59.0997 74.898 90.6964 106.495 122.293 138.091 153.89 169.688 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534 175.534


0	1	0 0 0 0 0 0 0 0.85305 2.48344 4.59682 7.1391 10.4061 15.1202 20.7857 26.3573 31.7901 37.4243 43.6624 49.071 49.9259 50.7807 51.6356 52.4904 54.4059 57.1684 59.9309 62.6933 63.8533 63.575 63.2967 63.0183 62.74 62.9523 63.5945 64.2366 64.8788 58.0102 47.1324 48.8277 50.5229 52.2181 53.9134 56.7302 61.5497 62.2921 61.8845 61.4769 61.0693 60.6617 60.2541 59.8466 59.439 59.0314 61.8695 64.9784 68.0873 71.1962 74.3052 77.4141 80.523 83.6319 86.7408 89.8497 90.1518 89.8838 88.7911 88.4237 87.4677 86.8251 85.4898 85.1474 84.5252 83.5885 82.8807 81.6817 81.4068 80.9552 79.7946 78.3288 78.0436 77.0283 76.3191 75.6376 74.2424 73.5936 72.6578 71.8341 71.3695 70.742 69.7826 69.4917 68.4363 67.7225 67.0302 66.4114 65.2591 64.9504 64.0117 63.5051 62.7382 62.2738 61.5177 60.7617 60.0056 59.2496 58.4936 57.7375 56.9815 56.2254 55.4694 54.7134 53.9971 53.2808 52.5646 51.8483 51.132 50.4158 49.6995 48.9832 48.267 47.5507 46.7752 45.9997 45.2241 44.4486 43.6731 42.8976 42.122 41.3465 40.571 39.7955 39.1783 38.5611 37.944 37.3268 36.7096 36.0924 35.4753 34.8581 34.2409 33.6237 33.018 32.4122 31.8065 31.2007 30.595 29.9892 29.3835 28.7777 28.1719 27.5662 27.1824 26.7986 26.4149 26.0311 25.6473 25.2636 24.8798 24.496 24.1122 23.7285 23.3503 22.9721 22.5939 22.2157 21.8375 21.4593 21.0811 20.7029 20.3247 19.9465 19.6395 19.3325 19.0254 18.7184 18.4114 18.1044 17.7973 17.4903 17.1833 16.8762 16.5966 16.317 16.0374 15.7577 15.4781 15.1985 14.9189 14.6392 14.3596 14.08 13.9139 13.7478 13.5817 13.4156 13.2495 13.0834 12.9173 12.7512 12.5851 12.419

1	1	103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 99.0515 89.9514 80.8513 71.7512 62.6511 53.551 44.4509 35.3508 26.2507 17.1507 12.194 14.1181 18.1021 14.1477 12.2031 12.0424 13.7214 12.966 10.4652 11.6579 16.3767 22.8468 21.3979 22.009 23.2926 25.4206 26.3224 23.6526 19.5414 14.5993 17.514 22.3411 18.4391 16.5972 17.8832 21.2835 23.2871 26.7708 32.3144 39.918 43.1684 36.6465 32.1846 29.7827 29.4409 31.8122 36.2981 42.844 51.4499 62.1158 58.377 51.9592 47.6014 45.3036 45.0659 49.1226 54.8726 60.6227 66.3728 72.1229 77.873 83.6231 89.3732 95.1233 100.873 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001 103.001


